;times;auc;iauc;model;fold
43;57;0.558136146;0.582140504;rsf;4
0;1;0.885369532;0.856244109;cox;0
1;2;0.783759262;0.856244109;cox;0
2;3;0.803233454;0.856244109;cox;0
3;4;0.787386975;0.856244109;cox;0
4;5;0.808919434;0.856244109;cox;0
5;6;0.821415279;0.856244109;cox;0
6;7;0.844625553;0.856244109;cox;0
7;8;0.83717964;0.856244109;cox;0
8;9;0.82964312;0.856244109;cox;0
9;10;0.829450476;0.856244109;cox;0
10;11;0.848011097;0.856244109;cox;0
11;12;0.861754223;0.856244109;cox;0
12;13;0.862685665;0.856244109;cox;0
13;14;0.841836543;0.856244109;cox;0
14;15;0.834892357;0.856244109;cox;0
15;16;0.843684635;0.856244109;cox;0
16;17;0.85101897;0.856244109;cox;0
17;18;0.850106644;0.856244109;cox;0
18;19;0.847150132;0.856244109;cox;0
19;20;0.856370519;0.856244109;cox;0
20;21;0.855715125;0.856244109;cox;0
21;22;0.844279624;0.856244109;cox;0
22;23;0.843020587;0.856244109;cox;0
23;24;0.842826982;0.856244109;cox;0
24;25;0.855340878;0.856244109;cox;0
25;26;0.844829044;0.856244109;cox;0
26;27;0.8402375;0.856244109;cox;0
27;28;0.839741938;0.856244109;cox;0
28;29;0.831255887;0.856244109;cox;0
29;30;0.82992843;0.856244109;cox;0
30;31;0.830815993;0.856244109;cox;0
31;32;0.834533303;0.856244109;cox;0
32;33;0.837435055;0.856244109;cox;0
33;34;0.824482499;0.856244109;cox;0
34;35;0.842215854;0.856244109;cox;0
35;36;0.831659988;0.856244109;cox;0
36;37;0.821041442;0.856244109;cox;0
37;38;0.854026074;0.856244109;cox;0
38;39;0.841589531;0.856244109;cox;0
39;40;0.838615583;0.856244109;cox;0
40;41;0.825113995;0.856244109;cox;0
41;43;0.844008475;0.856244109;cox;0
42;50;0.835291886;0.856244109;cox;0
43;57;0.863831953;0.856244109;cox;0
44;64;0.887019168;0.856244109;cox;0
45;71;0.87712478;0.856244109;cox;0
0;1;0.817962628;0.779138955;cox;1
1;2;0.695188988;0.779138955;cox;1
2;3;0.668977169;0.779138955;cox;1
3;4;0.669269648;0.779138955;cox;1
4;5;0.747477934;0.779138955;cox;1
5;6;0.72987189;0.779138955;cox;1
6;7;0.748981336;0.779138955;cox;1
7;8;0.746336134;0.779138955;cox;1
8;9;0.772570375;0.779138955;cox;1
9;10;0.782832333;0.779138955;cox;1
10;11;0.755489046;0.779138955;cox;1
11;12;0.76343961;0.779138955;cox;1
12;13;0.781300911;0.779138955;cox;1
13;14;0.779101531;0.779138955;cox;1
14;15;0.783810126;0.779138955;cox;1
15;16;0.772941049;0.779138955;cox;1
16;17;0.773350595;0.779138955;cox;1
17;18;0.782572526;0.779138955;cox;1
18;19;0.781843894;0.779138955;cox;1
19;20;0.793835096;0.779138955;cox;1
20;21;0.779589039;0.779138955;cox;1
21;22;0.789871977;0.779138955;cox;1
22;23;0.782273773;0.779138955;cox;1
23;24;0.764710299;0.779138955;cox;1
24;25;0.766555311;0.779138955;cox;1
25;26;0.754556734;0.779138955;cox;1
26;27;0.758665227;0.779138955;cox;1
27;28;0.760007822;0.779138955;cox;1
28;29;0.769959882;0.779138955;cox;1
29;30;0.78853356;0.779138955;cox;1
30;31;0.772517406;0.779138955;cox;1
31;32;0.769874609;0.779138955;cox;1
32;33;0.769185184;0.779138955;cox;1
33;34;0.751738977;0.779138955;cox;1
34;35;0.739037766;0.779138955;cox;1
35;36;0.745474536;0.779138955;cox;1
36;37;0.740887611;0.779138955;cox;1
37;38;0.765382644;0.779138955;cox;1
38;39;0.760829858;0.779138955;cox;1
39;40;0.765048087;0.779138955;cox;1
40;41;0.763254587;0.779138955;cox;1
41;43;0.808839049;0.779138955;cox;1
42;50;0.810857601;0.779138955;cox;1
43;57;0.799767649;0.779138955;cox;1
44;64;0.816246176;0.779138955;cox;1
45;71;0.837666412;0.779138955;cox;1
0;1;0.963114754;0.73765198;cox;2
1;2;0.901995814;0.73765198;cox;2
2;3;0.803053797;0.73765198;cox;2
3;4;0.697421826;0.73765198;cox;2
4;5;0.723391191;0.73765198;cox;2
5;6;0.762135708;0.73765198;cox;2
6;7;0.792935731;0.73765198;cox;2
7;8;0.774159266;0.73765198;cox;2
8;9;0.781325461;0.73765198;cox;2
9;10;0.786379947;0.73765198;cox;2
10;11;0.777015212;0.73765198;cox;2
11;12;0.76200804;0.73765198;cox;2
12;13;0.778217506;0.73765198;cox;2
13;14;0.788323024;0.73765198;cox;2
14;15;0.782803078;0.73765198;cox;2
15;16;0.774965946;0.73765198;cox;2
16;17;0.763104372;0.73765198;cox;2
17;18;0.757665702;0.73765198;cox;2
18;19;0.743532619;0.73765198;cox;2
19;20;0.741060912;0.73765198;cox;2
20;21;0.73751663;0.73765198;cox;2
21;22;0.737777318;0.73765198;cox;2
22;23;0.74197082;0.73765198;cox;2
23;24;0.758845044;0.73765198;cox;2
24;25;0.746141603;0.73765198;cox;2
25;26;0.738821886;0.73765198;cox;2
26;27;0.731197196;0.73765198;cox;2
27;28;0.734777851;0.73765198;cox;2
28;29;0.728100345;0.73765198;cox;2
29;30;0.718332605;0.73765198;cox;2
30;31;0.7186701;0.73765198;cox;2
31;32;0.732264399;0.73765198;cox;2
32;33;0.734894449;0.73765198;cox;2
33;34;0.726921426;0.73765198;cox;2
34;35;0.721858538;0.73765198;cox;2
35;36;0.73478897;0.73765198;cox;2
36;37;0.732290655;0.73765198;cox;2
37;38;0.746289831;0.73765198;cox;2
38;39;0.723772261;0.73765198;cox;2
39;40;0.735647134;0.73765198;cox;2
40;41;0.75260767;0.73765198;cox;2
41;43;0.764705492;0.73765198;cox;2
42;50;0.765268067;0.73765198;cox;2
43;57;0.757673901;0.73765198;cox;2
44;64;0.688824331;0.73765198;cox;2
45;71;0.720765625;0.73765198;cox;2
0;1;0.786089866;0.813336481;cox;3
1;2;0.762111153;0.813336481;cox;3
2;3;0.754274262;0.813336481;cox;3
3;4;0.778192164;0.813336481;cox;3
4;5;0.781955255;0.813336481;cox;3
5;6;0.78997466;0.813336481;cox;3
6;7;0.80379524;0.813336481;cox;3
7;8;0.802539418;0.813336481;cox;3
8;9;0.797828852;0.813336481;cox;3
9;10;0.799832448;0.813336481;cox;3
10;11;0.81813219;0.813336481;cox;3
11;12;0.82779387;0.813336481;cox;3
12;13;0.835217954;0.813336481;cox;3
13;14;0.842656397;0.813336481;cox;3
14;15;0.834160176;0.813336481;cox;3
15;16;0.834503191;0.813336481;cox;3
16;17;0.832741917;0.813336481;cox;3
17;18;0.839772962;0.813336481;cox;3
18;19;0.829670282;0.813336481;cox;3
19;20;0.844083261;0.813336481;cox;3
20;21;0.837263938;0.813336481;cox;3
21;22;0.833366728;0.813336481;cox;3
22;23;0.8312904;0.813336481;cox;3
23;24;0.816574578;0.813336481;cox;3
24;25;0.804817185;0.813336481;cox;3
25;26;0.814365117;0.813336481;cox;3
26;27;0.80848868;0.813336481;cox;3
27;28;0.804714927;0.813336481;cox;3
28;29;0.793132683;0.813336481;cox;3
29;30;0.794902406;0.813336481;cox;3
30;31;0.794327654;0.813336481;cox;3
31;32;0.791461075;0.813336481;cox;3
32;33;0.77808051;0.813336481;cox;3
33;34;0.791510529;0.813336481;cox;3
34;35;0.791510529;0.813336481;cox;3
35;36;0.779596459;0.813336481;cox;3
36;37;0.785867397;0.813336481;cox;3
37;38;0.780315719;0.813336481;cox;3
38;39;0.766585452;0.813336481;cox;3
39;40;0.820934582;0.813336481;cox;3
40;41;0.820934582;0.813336481;cox;3
41;43;0.823111122;0.813336481;cox;3
42;50;0.805807682;0.813336481;cox;3
43;57;0.742769607;0.813336481;cox;3
44;64;0.683181624;0.813336481;cox;3
45;71;0.609200803;0.813336481;cox;3
0;1;0.451386322;0.618858037;cox;4
1;2;0.652933807;0.618858037;cox;4
2;3;0.689578719;0.618858037;cox;4
3;4;0.70982033;0.618858037;cox;4
4;5;0.620569166;0.618858037;cox;4
5;6;0.623108913;0.618858037;cox;4
6;7;0.616705584;0.618858037;cox;4
7;8;0.629648143;0.618858037;cox;4
8;9;0.621036992;0.618858037;cox;4
9;10;0.644903329;0.618858037;cox;4
10;11;0.639956952;0.618858037;cox;4
11;12;0.653237003;0.618858037;cox;4
12;13;0.630370611;0.618858037;cox;4
13;14;0.641045168;0.618858037;cox;4
14;15;0.625743446;0.618858037;cox;4
15;16;0.610248988;0.618858037;cox;4
16;17;0.618031214;0.618858037;cox;4
17;18;0.616836592;0.618858037;cox;4
18;19;0.620922998;0.618858037;cox;4
19;20;0.617341506;0.618858037;cox;4
20;21;0.614025377;0.618858037;cox;4
21;22;0.609262807;0.618858037;cox;4
22;23;0.604097475;0.618858037;cox;4
23;24;0.589657159;0.618858037;cox;4
24;25;0.594649632;0.618858037;cox;4
25;26;0.585623557;0.618858037;cox;4
26;27;0.550530161;0.618858037;cox;4
27;28;0.560057872;0.618858037;cox;4
28;29;0.573270399;0.618858037;cox;4
29;30;0.565539621;0.618858037;cox;4
30;31;0.555310929;0.618858037;cox;4
31;32;0.549778232;0.618858037;cox;4
32;33;0.593568527;0.618858037;cox;4
33;34;0.58946411;0.618858037;cox;4
34;35;0.5730288;0.618858037;cox;4
35;36;0.575321198;0.618858037;cox;4
36;37;0.579355231;0.618858037;cox;4
37;38;0.573244584;0.618858037;cox;4
38;39;0.618506505;0.618858037;cox;4
39;40;0.636833246;0.618858037;cox;4
40;41;0.629040663;0.618858037;cox;4
41;43;0.595868368;0.618858037;cox;4
42;50;0.62208971;0.618858037;cox;4
43;57;0.654842687;0.618858037;cox;4
0;1;0.856108597;0.828650126;wei;0
1;2;0.769560814;0.828650126;wei;0
2;3;0.805021555;0.828650126;wei;0
3;4;0.784368451;0.828650126;wei;0
4;5;0.79936763;0.828650126;wei;0
5;6;0.81994532;0.828650126;wei;0
6;7;0.843331516;0.828650126;wei;0
7;8;0.830817289;0.828650126;wei;0
8;9;0.824586063;0.828650126;wei;0
9;10;0.825640058;0.828650126;wei;0
10;11;0.846907705;0.828650126;wei;0
11;12;0.858239186;0.828650126;wei;0
12;13;0.859265605;0.828650126;wei;0
13;14;0.830827092;0.828650126;wei;0
14;15;0.826233002;0.828650126;wei;0
15;16;0.833081341;0.828650126;wei;0
16;17;0.841980271;0.828650126;wei;0
17;18;0.840643581;0.828650126;wei;0
18;19;0.835720339;0.828650126;wei;0
19;20;0.846290539;0.828650126;wei;0
20;21;0.847005985;0.828650126;wei;0
21;22;0.834139486;0.828650126;wei;0
22;23;0.831157436;0.828650126;wei;0
23;24;0.832565229;0.828650126;wei;0
24;25;0.843600128;0.828650126;wei;0
25;26;0.829752206;0.828650126;wei;0
26;27;0.826538282;0.828650126;wei;0
27;28;0.825136085;0.828650126;wei;0
28;29;0.821121293;0.828650126;wei;0
29;30;0.811006907;0.828650126;wei;0
30;31;0.811379076;0.828650126;wei;0
31;32;0.809233011;0.828650126;wei;0
32;33;0.807165279;0.828650126;wei;0
33;34;0.799176565;0.828650126;wei;0
34;35;0.814327349;0.828650126;wei;0
35;36;0.802178811;0.828650126;wei;0
36;37;0.790261284;0.828650126;wei;0
37;38;0.828670884;0.828650126;wei;0
38;39;0.822901297;0.828650126;wei;0
39;40;0.813841746;0.828650126;wei;0
40;41;0.803731058;0.828650126;wei;0
41;43;0.818203206;0.828650126;wei;0
42;50;0.801646015;0.828650126;wei;0
43;57;0.811389024;0.828650126;wei;0
44;64;0.852076857;0.828650126;wei;0
45;71;0.817139428;0.828650126;wei;0
0;1;0.700421941;0.756965769;wei;1
1;2;0.591289469;0.756965769;wei;1
2;3;0.600851649;0.756965769;wei;1
3;4;0.627689246;0.756965769;wei;1
4;5;0.684744668;0.756965769;wei;1
5;6;0.690884407;0.756965769;wei;1
6;7;0.695877153;0.756965769;wei;1
7;8;0.702161608;0.756965769;wei;1
8;9;0.733511914;0.756965769;wei;1
9;10;0.745815313;0.756965769;wei;1
10;11;0.723290716;0.756965769;wei;1
11;12;0.732875156;0.756965769;wei;1
12;13;0.750517445;0.756965769;wei;1
13;14;0.752147827;0.756965769;wei;1
14;15;0.767625475;0.756965769;wei;1
15;16;0.758013669;0.756965769;wei;1
16;17;0.756158219;0.756965769;wei;1
17;18;0.763659691;0.756965769;wei;1
18;19;0.76026247;0.756965769;wei;1
19;20;0.768119516;0.756965769;wei;1
20;21;0.765790784;0.756965769;wei;1
21;22;0.771827912;0.756965769;wei;1
22;23;0.768319933;0.756965769;wei;1
23;24;0.743862964;0.756965769;wei;1
24;25;0.74628436;0.756965769;wei;1
25;26;0.744383884;0.756965769;wei;1
26;27;0.750117115;0.756965769;wei;1
27;28;0.751200964;0.756965769;wei;1
28;29;0.765211186;0.756965769;wei;1
29;30;0.793099587;0.756965769;wei;1
30;31;0.779350173;0.756965769;wei;1
31;32;0.776056738;0.756965769;wei;1
32;33;0.7761727;0.756965769;wei;1
33;34;0.754199417;0.756965769;wei;1
34;35;0.746799521;0.756965769;wei;1
35;36;0.750520163;0.756965769;wei;1
36;37;0.744349924;0.756965769;wei;1
37;38;0.765376647;0.756965769;wei;1
38;39;0.758972028;0.756965769;wei;1
39;40;0.750415234;0.756965769;wei;1
40;41;0.749191547;0.756965769;wei;1
41;43;0.782367087;0.756965769;wei;1
42;50;0.76499379;0.756965769;wei;1
43;57;0.777074736;0.756965769;wei;1
44;64;0.798045185;0.756965769;wei;1
45;71;0.807202721;0.756965769;wei;1
0;1;0.975068306;0.7463573;wei;2
1;2;0.907573364;0.7463573;wei;2
2;3;0.838283708;0.7463573;wei;2
3;4;0.737090602;0.7463573;wei;2
4;5;0.735429513;0.7463573;wei;2
5;6;0.758784733;0.7463573;wei;2
6;7;0.781614153;0.7463573;wei;2
7;8;0.76982816;0.7463573;wei;2
8;9;0.777259306;0.7463573;wei;2
9;10;0.782744823;0.7463573;wei;2
10;11;0.758614553;0.7463573;wei;2
11;12;0.746716372;0.7463573;wei;2
12;13;0.765241522;0.7463573;wei;2
13;14;0.773434558;0.7463573;wei;2
14;15;0.754915597;0.7463573;wei;2
15;16;0.752076798;0.7463573;wei;2
16;17;0.744060358;0.7463573;wei;2
17;18;0.745682058;0.7463573;wei;2
18;19;0.732048567;0.7463573;wei;2
19;20;0.729950794;0.7463573;wei;2
20;21;0.727151241;0.7463573;wei;2
21;22;0.726408638;0.7463573;wei;2
22;23;0.733438635;0.7463573;wei;2
23;24;0.754037092;0.7463573;wei;2
24;25;0.748770726;0.7463573;wei;2
25;26;0.734562395;0.7463573;wei;2
26;27;0.726998955;0.7463573;wei;2
27;28;0.723503816;0.7463573;wei;2
28;29;0.715290914;0.7463573;wei;2
29;30;0.712679057;0.7463573;wei;2
30;31;0.719997347;0.7463573;wei;2
31;32;0.735545893;0.7463573;wei;2
32;33;0.740911255;0.7463573;wei;2
33;34;0.732405758;0.7463573;wei;2
34;35;0.7275573;0.7463573;wei;2
35;36;0.745814173;0.7463573;wei;2
36;37;0.743683448;0.7463573;wei;2
37;38;0.755509414;0.7463573;wei;2
38;39;0.743155781;0.7463573;wei;2
39;40;0.754624235;0.7463573;wei;2
40;41;0.76489901;0.7463573;wei;2
41;43;0.761552001;0.7463573;wei;2
42;50;0.772539426;0.7463573;wei;2
43;57;0.770911883;0.7463573;wei;2
44;64;0.714414875;0.7463573;wei;2
45;71;0.748128079;0.7463573;wei;2
0;1;0.800828553;0.829091394;wei;3
1;2;0.785901226;0.829091394;wei;3
2;3;0.795614583;0.829091394;wei;3
3;4;0.821484696;0.829091394;wei;3
4;5;0.80423623;0.829091394;wei;3
5;6;0.805712572;0.829091394;wei;3
6;7;0.824877199;0.829091394;wei;3
7;8;0.82555822;0.829091394;wei;3
8;9;0.822026154;0.829091394;wei;3
9;10;0.825615337;0.829091394;wei;3
10;11;0.837552725;0.829091394;wei;3
11;12;0.844641725;0.829091394;wei;3
12;13;0.847522488;0.829091394;wei;3
13;14;0.848008499;0.829091394;wei;3
14;15;0.835867468;0.829091394;wei;3
15;16;0.83758052;0.829091394;wei;3
16;17;0.837586161;0.829091394;wei;3
17;18;0.844430699;0.829091394;wei;3
18;19;0.830688478;0.829091394;wei;3
19;20;0.842885468;0.829091394;wei;3
20;21;0.834157276;0.829091394;wei;3
21;22;0.833427007;0.829091394;wei;3
22;23;0.833595246;0.829091394;wei;3
23;24;0.830362052;0.829091394;wei;3
24;25;0.818272455;0.829091394;wei;3
25;26;0.832114735;0.829091394;wei;3
26;27;0.825665999;0.829091394;wei;3
27;28;0.819637093;0.829091394;wei;3
28;29;0.808948911;0.829091394;wei;3
29;30;0.798926682;0.829091394;wei;3
30;31;0.810491995;0.829091394;wei;3
31;32;0.805287072;0.829091394;wei;3
32;33;0.795907055;0.829091394;wei;3
33;34;0.81709313;0.829091394;wei;3
34;35;0.81709313;0.829091394;wei;3
35;36;0.815520516;0.829091394;wei;3
36;37;0.813196144;0.829091394;wei;3
37;38;0.807701913;0.829091394;wei;3
38;39;0.799033697;0.829091394;wei;3
39;40;0.845999004;0.829091394;wei;3
40;41;0.845999004;0.829091394;wei;3
41;43;0.854053849;0.829091394;wei;3
42;50;0.820771924;0.829091394;wei;3
43;57;0.781575198;0.829091394;wei;3
44;64;0.731140433;0.829091394;wei;3
45;71;0.641520578;0.829091394;wei;3
0;1;0.642883549;0.726945245;wei;4
1;2;0.761989367;0.726945245;wei;4
2;3;0.760507977;0.726945245;wei;4
3;4;0.8032977;0.726945245;wei;4
4;5;0.766464525;0.726945245;wei;4
5;6;0.793272871;0.726945245;wei;4
6;7;0.774692071;0.726945245;wei;4
7;8;0.764832945;0.726945245;wei;4
8;9;0.771147513;0.726945245;wei;4
9;10;0.769344207;0.726945245;wei;4
10;11;0.775730598;0.726945245;wei;4
11;12;0.787522109;0.726945245;wei;4
12;13;0.78576517;0.726945245;wei;4
13;14;0.798662206;0.726945245;wei;4
14;15;0.793621873;0.726945245;wei;4
15;16;0.779165399;0.726945245;wei;4
16;17;0.780179209;0.726945245;wei;4
17;18;0.764095398;0.726945245;wei;4
18;19;0.763746628;0.726945245;wei;4
19;20;0.761204134;0.726945245;wei;4
20;21;0.759453758;0.726945245;wei;4
21;22;0.737293109;0.726945245;wei;4
22;23;0.730143426;0.726945245;wei;4
23;24;0.718768513;0.726945245;wei;4
24;25;0.733419499;0.726945245;wei;4
25;26;0.722664158;0.726945245;wei;4
26;27;0.720349989;0.726945245;wei;4
27;28;0.716288406;0.726945245;wei;4
28;29;0.726772169;0.726945245;wei;4
29;30;0.727516943;0.726945245;wei;4
30;31;0.721520298;0.726945245;wei;4
31;32;0.709055156;0.726945245;wei;4
32;33;0.701572826;0.726945245;wei;4
33;34;0.695500656;0.726945245;wei;4
34;35;0.694994442;0.726945245;wei;4
35;36;0.705734153;0.726945245;wei;4
36;37;0.697941892;0.726945245;wei;4
37;38;0.678590659;0.726945245;wei;4
38;39;0.697718369;0.726945245;wei;4
39;40;0.686561162;0.726945245;wei;4
40;41;0.67419881;0.726945245;wei;4
41;43;0.613518432;0.726945245;wei;4
42;50;0.660463855;0.726945245;wei;4
43;57;0.777933016;0.726945245;wei;4
0;2;0.685387852;0.764532936;xgbse;0
1;8;0.791974004;0.764532936;xgbse;0
2;15;0.748947009;0.764532936;xgbse;0
3;22;0.77297933;0.764532936;xgbse;0
4;29;0.768739329;0.764532936;xgbse;0
5;36;0.760883092;0.764532936;xgbse;0
0;2;0.619785274;0.75082698;xgbse;1
1;8;0.719053568;0.75082698;xgbse;1
2;15;0.772660139;0.75082698;xgbse;1
3;22;0.77231384;0.75082698;xgbse;1
4;29;0.764083567;0.75082698;xgbse;1
5;36;0.732081766;0.75082698;xgbse;1
0;2;0.857400428;0.697140243;xgbse;2
1;8;0.689230028;0.697140243;xgbse;2
2;15;0.690582955;0.697140243;xgbse;2
3;22;0.674826475;0.697140243;xgbse;2
4;29;0.668940758;0.697140243;xgbse;2
5;36;0.707366893;0.697140243;xgbse;2
0;2;0.752768;0.841556972;xgbse;3
1;8;0.799191933;0.841556972;xgbse;3
2;15;0.851598898;0.841556972;xgbse;3
3;22;0.854482653;0.841556972;xgbse;3
4;29;0.842653043;0.841556972;xgbse;3
5;36;0.849874912;0.841556972;xgbse;3
0;2;0.732276533;0.733188292;xgbse;4
1;8;0.750311642;0.733188292;xgbse;4
2;15;0.806178084;0.733188292;xgbse;4
3;22;0.738996499;0.733188292;xgbse;4
4;29;0.710336785;0.733188292;xgbse;4
5;36;0.672697451;0.733188292;xgbse;4
